NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,TURNOVER %,BLOCKED %,OFFENSIVE REBOUND %,POINTS PER POSSESSION OFFENSE,2PT % DEFENSE,3PT % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFNESE,3PT RATE DEFENSE,OP ASSIST %,TURNOVER % DEFENSE,BLOCK %,DEFENSIVE REBOUND %,POINTS PER POSSESSION DEFENSE,FREE THROW %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
24,Maryland,,,,,,,,,,,,,18.678,112.454,93.776,,61.2,30.8,55.6,37,37.3,41.6,16.7,4.9,38.1,1.203,45.3,26.3,43.4,26.3,32.6,40.9,20.1,11.4,61.9,0.893,75,12.639,0.89,,,,,,,22,12,48,,11,251,35,64,181,329,68,18,12,6,68,23,30,90,65,26,124,85,350,40,72,260,23,,,Maryland
25,Texas Tech,,,,,,,,,,,,,17.517,106.325,88.808,,54.4,33,52.8,35.5,33,57.9,21.7,9.8,31.9,1.055,43.8,29.4,43.9,25.2,41.2,48,22.2,12.9,68.1,0.878,73.7,19.877,0.888,,,,,,,25,72,11,,59,181,84,99,282,50,290,223,104,98,43,79,38,74,273,121,53,49,257,31,98,131,25,,,Texas Tech
26,Kansas,,,,,,,,,,,,,17.45,108.226,90.776,,50.5,33.3,50.3,25.8,33,61.5,17.5,6.4,30.3,1.027,43,30.6,44.1,26.6,39.3,45.5,19.9,12.5,69.7,0.925,62.6,27.713,0.883,,,,,,,26,51,19,,149,169,146,287,282,25,97,54,140,142,32,110,41,95,227,80,138,62,221,63,323,38,26,,,Kansas
27,Iowa,,,,,,,,,,,,,18.221,114.487,96.266,,54.3,34.3,53.3,35.9,34.4,57.8,12.8,8.2,34.4,1.194,46.1,32.2,46.8,15.9,30.3,45.4,21.2,8.9,65.6,0.934,77.1,19.318,0.88,,,,,,,24,7,82,,63,140,75,88,252,52,4,148,50,8,85,146,96,6,31,78,84,157,313,78,38,142,27,,,Iowa
28,Kansas St.,,,,,,,,,,,,,16.512,109.532,93.02,,49.6,37.7,51.9,38.3,33.3,67.9,22.5,8.3,36.4,1.077,47.1,29.7,46.3,41.4,32.7,48.4,26.8,9.6,63.6,0.866,79.4,11.719,0.868,,,,,,,30,38,40,,170,52,96,52,276,7,313,156,29,71,117,88,87,314,68,135,11,145,335,24,19,276,28,,,Kansas St.
29,Xavier,,,,,,,,,,,,,17.169,114.406,97.237,,52.8,46,57.3,35,27.4,63.8,19.1,9,32.3,1.135,47,38.8,50.5,28.4,30.7,54.1,18.5,10.6,67.7,1.033,72.9,27.774,0.866,,,,,,,28,8,91,,91,2,16,117,347,13,171,183,93,29,116,321,205,125,36,249,197,110,270,213,117,36,29,,,Xavier
30,Ohio St.,,,,,,,,,,,,,16.922,114.224,97.302,,55.6,34.1,54,30,35,42.8,17,6.4,37.8,1.172,44.3,26,42.5,25,34.2,36.5,15.8,8.9,62.2,0.901,80.6,20.951,0.863,,,,,,,29,9,94,,41,143,60,205,238,320,76,54,16,13,53,21,20,71,86,9,316,157,347,48,13,115,30,,,Ohio St.
31,Michigan St.,,,,,,,,,,,,,16.374,111.665,95.291,,48.6,36.8,50.8,27.7,34.1,61.2,17,9.7,31.7,1.071,48.5,31.2,47.8,28.7,43.8,58.6,15.9,8.4,68.3,1.025,75.2,32.53,0.861,,,,,,,31,20,64,,201,75,132,252,261,27,76,217,108,77,158,121,118,131,317,309,309,179,256,201,67,19,31,,,Michigan St.
32,Virginia Tech,,,,,,,,,,,,,16.251,111.834,95.583,,58.6,35.7,56.6,23.4,40.1,50.7,12.3,6.4,27.4,1.182,47.5,34.6,49.1,13.3,35.7,44,17.3,9.1,72.6,0.987,74.5,13.006,0.859,,,,,,,32,17,68,,18,96,23,321,117,173,2,54,218,12,128,216,156,2,123,61,248,153,145,140,84,253,32,,,Virginia Tech
33,Oklahoma,,,,,,,,,,,,,15.683,107.942,92.259,,54.6,36.7,54.7,31.8,34.4,56.2,18.8,8.3,19.9,1.03,46.5,25.6,44,22.5,30.3,41.9,16.3,10,80.1,0.891,70.3,16.938,0.859,,,,,,,33,54,34,,54,78,49,172,252,75,161,156,348,136,103,15,39,36,31,41,292,130,16,39,176,181,32,,,Oklahoma
34,Oklahoma St.,,,,,,,,,,,,,15.358,105.901,90.543,,54.9,29.3,51.2,34.1,33.6,52.8,20,6.1,36.5,1.051,42.3,27.3,41.7,26.1,41.1,47.7,22,17.1,63.5,0.871,69.7,9.637,0.858,,,,,,,35,76,18,,50,293,120,128,271,137,219,46,28,103,23,40,14,89,272,117,60,8,336,27,188,312,34,,,Oklahoma St.
35,Utah St.,,,,,,,,,,,,,15.59,109.766,94.176,,50,47.8,59.5,35.3,43.8,69.3,18.4,7,28.4,1.161,40.6,36.6,46,28.9,37.8,51.2,15.3,11.9,71.6,0.968,71.3,11.545,0.853,,,,,,,34,35,51,,159,1,5,106,61,4,142,78,191,18,10,272,75,137,182,197,328,78,171,111,154,281,35,,,Utah St.
