Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
Auburn,5,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,4,Auburn,,,,,,
UCLA,5,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,UCLA,,,,,,
Iowa,5,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,4,Iowa,,,,,,
UConn,6,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,FALSE,,TRUE,4,UConn,,,,,,
Texas Tech,6,TRUE,,FALSE,FALSE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,4,Texas Tech,,,,,,
Purdue,6,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,3,Purdue,,,,,,
Tennessee,6,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,Tennessee,,,,,,
Ohio St.,7,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,3,Ohio St.,,,,,,
Xavier,7,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,FALSE,,TRUE,4,Xavier,,,,,,
Saint Mary's,7,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,Saint Mary's,,,,,,
Maryland,7,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,3,Maryland,,,,,,
Memphis,8,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,4,Memphis,,,,,,
Michigan,8,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,3,Michigan,,,,,,
Virginia Tech,8,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,Virginia Tech,,,,,,
Dayton,8,TRUE,,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,3,Dayton,,,,,,
Miami,9,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,Miami,,,,,,
Wisconsin,9,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,FALSE,4,Wisconsin,,,,,,
St. Louis,9,TRUE,,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,5,St. Louis,,,,,,
Villanova,9,TRUE,,FALSE,TRUE,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,4,Villanova,,,,,,
Mississippi St.,10,TRUE,,FALSE,,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,3,Mississippi St.,,,,,,
St. John's,10,TRUE,,FALSE,,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,FALSE,,TRUE,3,St. John's,,,,,,
TCU,10,FALSE,,FALSE,,FALSE,FALSE,,,FALSE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,2,TCU,,,,,,
Arizona St.,10,FALSE,,FALSE,,FALSE,FALSE,,,TRUE,,,,,,FALSE,,FALSE,,,TRUE,,TRUE,3,Arizona St.,,,,,,
,,0 - 14,,2 - 74 ,0 - 28,1 - 23 ,4 - 58 ,,0 - 34 ,12 - 44 (5 - 51 Def) (7 - 49 Off) ,,12 - 160,,55 - 82,,13 - 51 (Above 18.3 %),,18 - 51 (Above 35.4 %),,14 - 74,0 - 18 ,,0 - 18 ,,,,,,,,
