SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,TEAM
8,Boise St.,N / A,16.4,108.4,92.0,64.6,15.2,106.9,91.7,0.854,21.58,65.7,51.1,34.1,65,51.1,35.2,38.6,46.8,30.6,78.1,9.8,18.5,48,32.4,72.1,48.2,25.8,33.2,43.3,21.9,69.4,8.9,20.1,3.5,78.79,1.038,0.928,100,100,100,100,Boise St.
8,San Diego St.,N / A,18.2,104.1,86.0,65.3,15.2,101.6,86.4,0.866,24.00,66.2,46.6,35.8,69.5,48.8,31.3,30.8,49.7,29.6,73,14.4,19.3,43.1,30.4,67.3,44,30.6,38.2,51,27,70.4,8.3,21.7,2.6,74.19,0.993,0.877,100,100,100,100,San Diego St.
8,Seton Hall,N / A,15.0,108.5,93.5,67.3,13.8,106.8,93,0.831,29.21,68.6,46.2,33.3,75.6,47.6,30.8,35.6,39.9,32.7,70.9,14.1,17.5,44.8,31,77.3,45.4,27.8,34.3,48.2,29.1,67.3,11,18.5,2.1,66.67,1.038,0.962,100,100,100,100,Seton Hall
9,Creighton,N / A,13.5,105.6,92.1,66.9,12.1,104.3,92.2,0.805,28.03,67.9,53.9,30.7,72.9,50.9,26,38.2,51.1,28.6,71.6,10.6,20.5,43.5,31.7,72.3,44.9,20.3,33.6,44.8,28.4,71.4,9.3,15.5,1.9,66.67,1.006,0.961,100,100,100,100,Creighton
9,Memphis,N / A,16.2,110.4,94.1,70.3,17.5,110.3,92.8,0.879,26.09,71.5,52,35.9,69.2,52.6,38.4,30.8,59.6,37.5,69,16.8,22.9,45.3,32.1,70,46.5,32.9,42.8,57,31,62.5,9.1,20.9,1.4,67.74,1.056,0.957,100,100,100,100,Memphis
9,TCU,N / A,14.9,108.3,93.4,65.8,14.6,107.2,92.6,0.843,35.94,66.9,50.5,30.3,66.8,48.9,31.2,32,53.9,37.8,73.9,11.4,21.6,47.9,31.5,71.2,47.7,26.7,34.6,54.2,26.1,62.2,8.6,18.4,2.9,62.50,1.01,0.964,100,100,100,100,TCU
9,Marquette,N / A,14.0,109.8,95.8,70.7,12.7,107.9,95.2,0.809,29.53,72.1,52.9,34.7,74.7,52.6,26.8,41.7,59.4,22.4,68.6,12.7,17.3,46.2,31.7,69.9,46.7,29.7,35.6,54.9,31.4,77.6,9.1,19.1,0.7,61.29,1.033,0.984,100,100,100,100,Marquette
10,Miami FL,N / A,12.6,114.8,102.1,67.3,13.8,114.3,100.5,0.815,27.26,68.5,54.9,35.3,74.3,54.2,28.9,35.9,50.8,23.4,69.7,8.5,14.2,53.9,35.2,69.1,53.4,24.6,39.4,56.6,30.3,76.6,8.6,20.3,2.6,69.70,1.104,1.048,100,100,100,100,Miami FL
10,Davidson,N / A,14.8,116.8,102.0,64.6,14.2,115.2,101,0.82,16.89,65.7,54.2,38.4,75.7,55.6,32.9,41.1,55,23.6,77.8,8.4,14.8,48.4,33.8,74.1,49.4,28,43.8,51.9,22.2,76.4,7.1,16.9,2.1,81.25,1.132,0.998,100,100,100,100,Davidson
10,Loyola Chicago,N / A,17.7,110.9,93.2,64.6,16.7,109.7,93,0.87,19.07,65.6,55.8,38,71.8,56.3,31.9,43.1,56.8,25.1,76.1,7.3,18.4,46.9,31.5,73.3,47,28.4,38.1,41.9,23.9,74.9,11.1,19.9,1.8,77.42,1.1,0.932,100,100,100,100,Loyola Chicago
10,San Francisco,N / A,18.4,110.8,92.4,68.7,17.5,109.9,92.4,0.88,24.13,69.8,53.9,34.7,69.2,53.1,28.4,44.4,47,30.3,76.2,11.5,18.1,48.4,28.9,71,46.9,32.2,30.4,43.2,23.8,69.7,9,18.5,1.6,71.88,1.076,0.944,100,100,100,100,San Francisco
11,Iowa St.,N / A,13.9,104.4,90.4,66.1,14.4,103,88.6,0.85,36.13,67.3,50.9,32.1,68.4,49.9,28.1,37.4,60.1,28.2,71.5,9.5,20.4,50.7,29.6,71.9,48.4,36.2,37.5,52.3,28.5,71.8,11.3,24.5,2.8,62.50,0.981,0.93,100,100,100,100,Iowa St.
11,Michigan,N / A,15.6,114.2,98.6,66.3,17.4,113.8,96.4,0.871,34.12,67.2,53,34,74.6,52.3,28.9,32.3,52.4,31.2,76.2,8.1,17.1,50.8,33,72.9,50.3,26.6,33.9,41.6,23.8,68.8,8.4,15,0.2,54.84,1.082,1.035,100,100,100,100,Michigan
