NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Utah St.,,,,,,,,,,,,,15.59,109.766,94.176,,50,47.8,59.5,35.3,43.8,69.3,18.4,7,28.4,1.161,40.6,36.6,46,28.9,37.8,51.2,15.3,11.9,71.6,0.968,71.3,11.545,0.853,100,100,Utah St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mississippi St.,,,,,,,,,,,,,14.252,102.382,88.13,,49.1,29.9,47.4,24.6,38.9,59.7,18,6.2,39.5,1.04,40.6,23.6,38.2,20.1,45.8,56.6,24.4,14.9,60.5,0.747,59.3,13.814,0.849,100,100,Mississippi St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Iowa St.,,,,,,,,,,,,,14.467,104.701,90.234,,52.4,29.7,49.7,24.3,34.2,56.9,18.6,4.1,35.5,1.062,47.7,27,44.3,45.1,47.6,57.8,30.4,10.6,64.5,0.844,74.7,22.136,0.847,100,100,Iowa St.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Texas A&M,,,,,,,,,,,,,14.925,110.909,95.984,,51.6,33.1,50.9,48,37.1,53.6,18.5,7.4,35.7,1.093,44.8,37,49.5,48.4,44.2,58.9,25.7,9.2,64.3,0.983,72.6,14.317,0.841,100,100,Texas A&M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Arizona St.,,,,,,,,,,,,,14.044,104.386,90.342,,51.3,32.5,50.3,45,38.6,58.7,19.4,7.1,30.6,1.037,39.7,22.1,37.6,35.1,32.8,50.3,19.8,15.7,69.4,0.837,71,10.17,0.84,100,100,Arizona St.
