SEED,TEAM,ROUND,K ADJ. OFFENSE,B ADJ. OFFENSE,2PT %,3PT %,FT %,EFG %,FT RATE,3PT RATE,AST %,O REBOUND %,PPP O,BLOCKED %,TOV %,K ADJ. DEFENSE,B ADJ. DEFENSE,2PT % D,3PT % D,FT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,D REBOUND %,PPP D,BLOCK %,TOV % D,K ADJ. EFFICIENCY,B ADJ. EFFICIENCY,K ADJ. TEMPO,B ADJ. TEMPO,BARTHAG,ELITE SOS,WAB,WIN %,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,OP O REB %,OP D REB %,TEAM
13,Vermont,N / A,110.8,109.7,58.9,36.8,74.7,57.3,26.6,43.1,54.90,24,1.143,8.9,14.9,97.7,97.6,45.2,34.4,68.4,47.7,22.6,37.6,43.5,81.4,0.928,7.00,17.1,13.1,12.1,65.0,65.9,0.793,8.45,-0.8,84.38,100,100,100,100,18.6,76,Vermont
14,Colgate,N / A,108.3,106.5,52.7,40.2,69.3,55.9,26.8,42,61.70,26.5,1.11,8.5,16.9,104.1,103.5,48.2,33.7,67.1,49,24.3,35.9,52.9,75.2,0.995,9.30,16.2,4.2,3,67.3,68.2,0.581,9.72,-6.1,66.67,100,100,100,100,24.8,73.5,Colgate
14,Longwood,N / A,106.1,105.6,48.0,38.6,72.4,51.7,35.9,37.2,52.70,33.6,1.091,11.6,18.2,103.6,102.6,53.6,31.1,74,50.6,26.8,43.6,49.3,75.5,0.985,6.30,20.1,2.5,3,66.0,66.8,0.582,8.67,-2.3,78.57,100,100,100,100,24.5,66.4,Longwood
14,Montana St.,N / A,104.5,103.0,53.2,37.2,74.8,54.1,40.5,36,47.30,26.7,1.084,8.1,18.5,100.7,100.8,48.2,32.8,75.8,48.6,36.2,35.9,38.8,76.7,0.99,10.40,18.3,3.8,2.2,67.3,68,0.562,7.97,-2.8,78.13,100,100,100,100,23.3,73.3,Montana St.
14,Yale,N / A,101.5,99.8,50.5,32.9,73.7,50.1,32.7,36.3,46.40,25.6,1.017,9.7,18.3,99.2,98.5,51.1,30.4,68.1,48.9,31.1,41.2,48,73.5,0.988,9.20,18.2,2.2,1.3,68.7,69.8,0.538,14.68,-4.9,62.07,100,100,100,100,26.5,74.4,Yale
15,Saint Peter's,N / A,98.8,97.6,45.9,34.8,68.5,47.8,37.5,30.3,51.60,31.5,0.983,13.2,20.8,94.5,94.1,44,29.4,73.5,44.1,41,36.3,51.6,72,0.925,14.60,20.9,4.3,3.5,66.0,66.8,0.604,12.35,-5.6,62.07,100,100,100,100,28,68.5,Saint Peter's
15,Cal St. Fullerton,N / A,104.7,102.0,48.7,33.5,76.4,49.2,35.7,30,44.70,29,1.036,8.3,18.1,102.6,103.2,48,37.1,69.1,50.8,26.1,36.4,54.2,72,0.992,5.50,20.2,2.1,-1.2,66.0,67.1,0.466,10.89,-5.1,65.52,100,100,100,100,28,71,Cal St. Fullerton
15,Delaware,N / A,106.8,106.8,54.2,35.0,74.2,53.5,34.6,38.2,48.10,26.8,1.072,8,18.4,104.6,103.2,47.5,34.9,75.7,49.3,29.3,35.6,45,68.8,1.03,9.90,18.5,2.3,3.6,66.6,67.6,0.597,12.59,-5.5,63.64,100,100,100,100,31.2,73.2,Delaware
15,Jacksonville St.,N / A,105.3,104.0,51.8,38.2,68.3,54.2,32.2,42.7,53.90,28.3,1.059,8.3,20,103.1,101.6,47.4,32.5,77.4,48,21.1,44.9,53.1,73.8,0.994,9.20,17.1,2.2,2.4,65.1,66.2,0.567,10.70,-5.2,65.52,100,100,100,100,26.2,71.7,Jacksonville St.
16,Bryant,N / A,104.2,102.6,52.6,30.7,73.4,49.7,32.7,43.7,50.60,33,1.051,12.7,19.1,105.2,104.3,47,32.1,68,47.4,24.4,33.5,54.1,68.4,1.009,9.60,16.5,-1.0,-1.7,72.2,73.1,0.453,9.64,-4.8,70.00,100,100,100,100,31.6,67,Bryant
16,Georgia St.,N / A,101.5,100.8,43.1,32.3,71.6,45.1,30.2,36.9,52.50,32.8,0.993,8.9,16.9,99.7,99.4,45.4,37.9,70,49.7,32.8,38.1,56.7,69.3,0.978,12.50,22.7,1.8,1.4,67.1,68.2,0.54,12.18,-5.2,60.00,100,100,100,100,30.7,67.2,Georgia St.
16,Norfolk St.,N / A,102.4,99.9,51.3,34.5,69.5,51.5,39.1,35.8,47.60,29.8,1.032,9.9,19.9,102.3,102.1,46.3,29.1,64.8,45.1,33.3,45.1,54.6,72.8,0.934,10.20,18.5,0.1,-2.2,66.9,68.2,0.438,6.92,-3.1,77.78,100,100,100,100,27.2,70.2,Norfolk St.
16,Texas A&M CC,N / A,97.0,96.5,47.3,31.6,75,47.3,38.4,31.3,53.40,34.7,1.024,9.9,19.9,103.3,102.9,50.5,31.5,75.4,49.1,41.6,42.8,53.8,71,0.986,5.10,22.7,-6.3,-6.4,68.9,70,0.323,7.52,-7.6,63.33,100,100,100,100,29,65.3,Texas A&M CC
16,Texas Southern,N / A,98.1,96.9,49.2,31.7,67.1,48.7,32.7,31.4,42.30,33.8,0.996,6.2,21.4,99.5,98.7,45.2,29.5,65.6,44.9,34.3,35.8,46.9,71.8,0.942,13.40,17.4,-1.3,-1.8,67.6,68.7,0.447,11.94,-6.8,60.00,100,100,100,100,28.2,66.2,Texas Southern
16,Wright St.,N / A,106.4,104.1,53.2,33.0,76.6,52,31.1,32.5,50.30,31.3,1.086,6.7,17.9,107.2,106.9,51.6,33.7,71.3,51.2,26,34.2,41,70,1.035,7.50,18.4,-0.9,-2.8,68.4,69.6,0.424,8.92,-8.4,60.61,100,100,100,100,30,68.7,Wright St.
